Subject,distance,Band1,Heiman,Band2,GridEYE
sam,0,31,31.05,30.8,28
sam,1,31,30.05,30.8,23.25
sam,2,31,30.35,30.7,21.75
sam,3,30.9,29.25,30.7,20.75
sam,4,30.9,28.75,30.7,20.25
sam,5,30.8,28.35,30.7,20.25

billy,0,32.3,31.65,31.9,28.5
billy,1,32.3,30.75,31.8,23.75
billy,2,32.1,30,31.7,21.75
billy,3,32.1,29.55,31.7,20.75
billy,4,32,28.05,31.6,19.75
billy,5,32,27.65,31.6,19.25

james,0,27.7,27.75,27.7,25.25
james,1,27.7,26.85,27.7,22
james,2,27.7,26.55,27.7,20.75
james,3,27.7,25.65,27.7,20.5
james,4,27.7,25.65,27.7,19.75
james,5,27.7,25,27.7,19.5

hessam,0,29.9,29.87,20.9,28.25
hessam,1,29.9,30.1,30,24
hessam,2,29.9,29.6,30,22.5
hessam,3,29.9,29,30,20.75
hessam,4,29.9,28,30,20
hessam,5,29.9,27.6,30,19.75

munir,0,32.4,32.25,32,30.25
munir,1,32.3,30.75,32,24.5
munir,2,32.3,30.25,32,20.75
munir,3,32.3,29.75,32.1,20
munir,4,32.1,29.25,32.2,19.75
munir,5,32,28.25,32.1,19.25

joe,0,29.1,29.05,29.3,28.75
joe,1,29.1,28.45,29.4,22.75
joe,2,29.3,27.35,29.4,21.75
joe,3,29.3,27.55,29.4,21
joe,4,29.3,25.27,29.4,20.75
joe,5,29.3,26.75,29.4,20.25
